Chci_spravedlnost_pro_dceru.txt,5-range,5
Chci_spravedlnost_pro_dceru.txt,6-genre,report
Chci_spravedlnost_pro_dceru.txt,8-message-trigger,security-forces
Chci_spravedlnost_pro_dceru.txt,9-place,czech-republic
Tvrdík_skončil_jako_viceprezident.txt,5-range,4
Tvrdík_skončil_jako_viceprezident.txt,6-genre,report
Tvrdík_skončil_jako_viceprezident.txt,8-message-trigger,politician
Tvrdík_skončil_jako_viceprezident.txt,9-place,czech-republic,other
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,5-range,3
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,6-genre,report
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,8-message-trigger,security-forces
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,9-place,russia,ukraine
